Wavelength,RH_S_P2,RH_DMSO_P2,LH_S_P3,LH_DMSO_P3,RH_P2,LH_P3
726.25,-0.108320682139858,-0.137866433690876,-0.0255992847866213,-0.0212359961984952,-0.114649361851391,0.16969035783986
726.7,-0.108774814939671,-0.138082767037039,-0.0276779118769355,-0.0231412321027988,-0.112177457150447,0.168915152953555
727.15,-0.109227495634261,-0.138279496041279,-0.0297379008004459,-0.0250396934475465,-0.109651025120684,0.168116434594351
727.6,-0.109680713701881,-0.138460375249167,-0.0317827335846845,-0.0269342255988654,-0.107083537970737,0.167297325993421
728.05,-0.110126976900545,-0.138616581687379,-0.0338025687886871,-0.0288161896203704,-0.104449455013196,0.166452033133387
728.5,-0.110568214222359,-0.138751816888004,-0.0358011107102512,-0.0306880920196988,-0.10176224860064,0.16558365712243
728.95,-0.11100330901931,-0.138865734803907,-0.0377777940676343,-0.0325487350605151,-0.0990224225300406,0.164692322367088
729.4,-0.111431210301567,-0.138958048783956,-0.0397321927918739,-0.0343968954925238,-0.0962304444186112,0.163778140951451
729.85,-0.111854371413501,-0.139033183972868,-0.0416687143115117,-0.0362360953490935,-0.0933994787010408,0.162844145741593
730.3,-0.112265003583702,-0.139081712492307,-0.0435776418800601,-0.038055812674073,-0.0905042251880905,0.16188459759941
730.75,-0.112665688662058,-0.139108146749091,-0.0454635428124363,-0.039859479413314,-0.0875577402755378,0.160902389381704
731.2,-0.113055669390265,-0.139112536504958,-0.0473263601169091,-0.0416459778525381,-0.084560312669668,0.159897432264849
731.65,-0.113437720316876,-0.139099799171384,-0.0491707646744552,-0.0434193847163161,-0.0815248372968343,0.158872900379883
732.1,-0.113804570481449,-0.139060814565236,-0.050987527902723,-0.0451684110101483,-0.0784265072866023,0.157821981457738
732.55,-0.114159335588225,-0.139000819588669,-0.0527814365917553,-0.0468971642580732,-0.0752784134082992,0.156747441366854
733,-0.114501833454321,-0.138920506890212,-0.0545525032922154,-0.0486047589281877,-0.0720810881944737,0.155648682603043
733.45,-0.114832011660315,-0.138820760728753,-0.056300635306667,-0.0502904334172916,-0.0688351586673783,0.154524935943348
733.9,-0.115153104018523,-0.138707016487299,-0.0580300138089613,-0.0519589412306755,-0.0655534258293418,0.153379774750788
734.35,-0.115458724374995,-0.138571615720563,-0.0597316096127438,-0.0535990347472018,-0.0622125231866251,0.152203532118481
734.8,-0.115752229682741,-0.138420389388798,-0.061409537204039,-0.0552157326077174,-0.0588257081051458,0.150999422338594
735.25,-0.116033685504622,-0.138254780026321,-0.0630634596828821,-0.0568087584271711,-0.0553941998027511,0.149766492282581
735.7,-0.116305970387475,-0.138080013606916,-0.0646971937595529,-0.0583831476262503,-0.0519305597321707,0.148509856929106
736.15,-0.116563014144671,-0.137889993712214,-0.0663018618818247,-0.0599279069051709,-0.048413409951018,0.147217522787752
736.59,-0.116799568824946,-0.137691406228949,-0.0678422182701251,-0.0614093157442021,-0.0449243991180647,0.145917612974386
737.04,-0.117034640934176,-0.137486627097012,-0.0694005622066561,-0.0629103305689633,-0.0413391918009858,0.144571216087727
737.49,-0.117254214674357,-0.137271629720943,-0.0709285553127689,-0.0643808586041654,-0.0377057907169838,0.143186986048778
737.94,-0.117461004652195,-0.137051108976709,-0.0724300645927939,-0.0658258291500994,-0.0340366794803822,0.141771365698369
738.39,-0.117655082987837,-0.136826478847413,-0.0739048921487669,-0.0672449006889848,-0.0303336271975991,0.140324019430393
738.84,-0.117838972239671,-0.136601118759128,-0.0753572193494968,-0.0686426819344383,-0.026607713379549,0.138853579063407
739.29,-0.118008223635558,-0.136372215410748,-0.0767786346426791,-0.0700086116890659,-0.0228419721957373,0.137341995453427
739.74,-0.118165742810979,-0.136143447495005,-0.0781735771428703,-0.0713472446631871,-0.0190480743974677,0.135797140846026
740.19,-0.118312238010613,-0.135916289415064,-0.0795424262971935,-0.0726581410628621,-0.0152283703841256,0.134218198141139
740.64,-0.118450589409042,-0.135693105423598,-0.080890172895392,-0.0739459538859328,-0.0113932208591854,0.132615016174924
741.09,-0.118578088088429,-0.135473424621401,-0.0822087448468891,-0.0752006702168226,-0.00752956240679471,0.130964938609901
741.54,-0.118698075560349,-0.135259928636019,-0.0835033553487081,-0.0764272891382503,-0.00364849698091879,0.129276877435272
741.99,-0.118813352554601,-0.135054182118487,-0.0847794885031241,-0.0776309601189448,0.000240730655808817,0.127561280356133
742.43,-0.118918634757159,-0.134861988326454,-0.0859969962533292,-0.0787715969067528,0.00406703535895957,0.125819657561556
742.88,-0.119024431795563,-0.134676066150063,-0.087226136566952,-0.0799165568746019,0.00798249702770815,0.124007978521485
743.33,-0.119129056362065,-0.13450146165533,-0.0884401266588495,-0.0810402249402707,0.0118993391303528,0.122164074312992
743.78,-0.119231862739434,-0.134340924481581,-0.0896308878906005,-0.0821337744469625,0.0158248424617905,0.120259920835915
744.23,-0.119335293393917,-0.134195111240308,-0.0908042315492827,-0.0832032156162602,0.0197515134875735,0.118306223016518
744.68,-0.11944072181489,-0.134065115101133,-0.0919613467587533,-0.0842497972915715,0.0236773614840155,0.116300865239571
745.13,-0.119549544598241,-0.133949988312604,-0.0931080850270212,-0.0852796147963511,0.0275984640026833,0.114255591747246
745.58,-0.119662791078626,-0.133854037060694,-0.0942361337550021,-0.0862842671792463,0.0315189814274098,0.112140597140337
746.03,-0.119781948636851,-0.133776289833349,-0.0953512689699946,-0.0872697298996062,0.035435282866085,0.109967389042172
746.47,-0.119905277827867,-0.133718370504924,-0.0964301383890934,-0.0882157174052968,0.0392600908733286,0.107784068749184
746.92,-0.120039430799052,-0.133677958715958,-0.0975227132010118,-0.0891660484272198,0.0431671122333414,0.105489266474332
747.37,-0.120182655213782,-0.13365669774139,-0.0986051677586517,-0.0900996545622302,0.0470694283916823,0.103129861626895
747.82,-0.120334433719316,-0.133651416009297,-0.0996829216975335,-0.0910216605850765,0.0509680091205446,0.100718552398765
748.27,-0.12049809708048,-0.133667876794546,-0.100747146953169,-0.0919229030430069,0.0548622785514646,0.0982244594431779
748.72,-0.120673075602898,-0.133702752124753,-0.101803001132207,-0.0928081288606286,0.058753068401905,0.0956604929474785
749.17,-0.120857785634333,-0.133751939979188,-0.102855379156732,-0.0936818590162584,0.0626431063462755,0.093040349716911
749.62,-0.121056348479076,-0.133821816566856,-0.103895189186074,-0.0945344421197859,0.0665295203460633,0.0903328698396395
750.06,-0.121264565394345,-0.133910016431902,-0.104899844226103,-0.0953471086205659,0.0703255958031846,0.087599162050197
750.51,-0.121484698971198,-0.134007969309187,-0.105928730748673,-0.0961706023331403,0.0742129747395821,0.0847612822895592
