Wavelength,RH_R_P3,RH_DMSO_P3,LH_R_P1,LH_DMSO_P1,RH_P3,LH_P1
928.08,-0.0595343285758433,-0.108338000539733,-0.430483965944431,-0.362866556661977,-0.0886243441600393,-0.0761258131749436
928.51,-0.0592528351080244,-0.108774310783601,-0.431131250265949,-0.363142079094878,-0.0943896404149869,-0.0722332404975692
928.95,-0.0589478442134208,-0.109224773599173,-0.431800303101684,-0.363421780671411,-0.100282998522678,-0.0682163313666115
929.39,-0.0585786249537184,-0.109659223751222,-0.432454360308411,-0.363692385086941,-0.106146138325558,-0.0641144476688029
929.82,-0.058171580509856,-0.110071984962124,-0.433082091180116,-0.363947641657484,-0.111850598354162,-0.0600427590701408
930.26,-0.0577080906480704,-0.110479672379944,-0.433709012408164,-0.364197156047281,-0.11765827704568,-0.0558141816299639
930.7,-0.0572159302041156,-0.110877620437852,-0.434324243467833,-0.364436557917965,-0.123442783730232,-0.0515401669685865
931.13,-0.0566518326554814,-0.111231048209641,-0.434886888194042,-0.364646316896868,-0.129039076031335,-0.0472770301003574
931.57,-0.0560661047522432,-0.11158660752824,-0.435452070859266,-0.364851519547973,-0.134747101132455,-0.0428893423589494
932.01,-0.0554131701933638,-0.111907789746034,-0.435977564294453,-0.365030965733299,-0.140398842377628,-0.0384343522236323
932.44,-0.0547285308154913,-0.112193825752482,-0.436457430338401,-0.365183832182395,-0.145875097943137,-0.0340327849809215
932.88,-0.0539803469180709,-0.11245517323394,-0.436910833319053,-0.365315224537584,-0.151427259029427,-0.029483260635588
933.32,-0.0532045346790011,-0.112692718774392,-0.437333545237932,-0.365426314281247,-0.156939227234967,-0.0249026488511151
933.75,-0.0523805457438257,-0.112878449549527,-0.437695105969004,-0.365500561113815,-0.162255783765178,-0.0203767644993399
934.19,-0.0514910117845732,-0.113028632780219,-0.438020351233694,-0.365546501191239,-0.167635955579925,-0.0157110104601246
934.63,-0.0505761231248161,-0.113148383431347,-0.438310002121541,-0.365569052429464,-0.172970044140714,-0.0110235809646399
935.06,-0.0495978742154037,-0.113197345026522,-0.438525147699706,-0.365543898089307,-0.178086636675572,-0.00639721991372678
935.5,-0.0485954161711457,-0.113226798007897,-0.43872002490913,-0.365502739926956,-0.183291478649837,-0.00165758183971132
935.94,-0.0475298981181649,-0.113194368810249,-0.438854625942115,-0.365420117773381,-0.188411000497746,0.00311195920719558
936.37,-0.046449080538407,-0.113113937796546,-0.438938635209961,-0.365307652561223,-0.193347884492455,0.00779065766866773
936.81,-0.0453043511195461,-0.112980714574716,-0.438976298184434,-0.365160707550567,-0.198331468269535,0.0125937743268468
937.25,-0.0441426903184993,-0.112810138492452,-0.438977261572512,-0.364992294080069,-0.203265143535301,0.0174042904144868
937.68,-0.0429331653914461,-0.112563482630561,-0.438910685314873,-0.364779840232382,-0.207983553099734,0.022128989816557
938.12,-0.041704006463524,-0.112289924330453,-0.438820869136333,-0.364554901316398,-0.212783589232306,0.0269612692563675
938.56,-0.0404440934893845,-0.111965084898453,-0.438688028616398,-0.364304499466556,-0.217517872100943,0.0318020204812996
938.99,-0.0391471847550171,-0.111568239024273,-0.438498283989064,-0.364017279030895,-0.222045298225443,0.0365476665384424
939.43,-0.0378349361263204,-0.111145326776013,-0.438288815910166,-0.363723286159115,-0.226655041154659,0.041398203465557
939.87,-0.0364819409104235,-0.110660039876408,-0.438035030949185,-0.363400830063909,-0.231186499996056,0.0462541265085678
940.3,-0.0351424319033575,-0.110142868149854,-0.437757627730178,-0.363070466385273,-0.23556004722684,0.0509981700737852
940.74,-0.0337574994333216,-0.109572184131323,-0.437447041280543,-0.36271915645053,-0.239981678259299,0.0558483202585019
941.17,-0.0323931144826912,-0.108976163039218,-0.437120341303812,-0.362364754530029,-0.244252778636699,0.060581668510696
941.61,-0.0310039923606634,-0.108343795489502,-0.436772677520718,-0.362002052969675,-0.248591492512865,0.0654154103912128
942.05,-0.0295922200797607,-0.107660716630388,-0.436397707513906,-0.361620119176149,-0.252865056139977,0.0702398892134178
942.48,-0.0282082010448613,-0.106960247675575,-0.43601469853235,-0.361238073170434,-0.256997156257043,0.0749431587665826
942.92,-0.0267890484165267,-0.106211413059019,-0.435607326056757,-0.360837827380552,-0.261181261692921,0.0797429796116371
943.36,-0.0253795566334806,-0.105444272952099,-0.435190868019306,-0.360436895478032,-0.265336819888648,0.084531032665582
943.79,-0.0239888440335547,-0.104653042189002,-0.43476470026538,-0.360024978985868,-0.269341234190961,0.0891945702194171
944.23,-0.022565215242142,-0.103815290148566,-0.434315472735189,-0.359591284410473,-0.27339718416233,0.0939509266599456
944.66,-0.0211733813458066,-0.102970005674083,-0.433863794611183,-0.359154255085243,-0.277321081919726,0.0985829083388623
945.1,-0.01974827076964,-0.102078605449362,-0.433388609837949,-0.358692177924029,-0.281296239927136,0.103304858717225
945.54,-0.0183273575574886,-0.101170066306837,-0.432903298779027,-0.35822236627559,-0.285243609558895,0.108013687106992
945.97,-0.0169295516931218,-0.100247751595157,-0.4324123187313,-0.357737028682496,-0.289051441640821,0.112590737108069
946.41,-0.0154956345879308,-0.0992793187459999,-0.431896149154873,-0.357221363312675,-0.292910275892835,0.117252407581982
946.84,-0.0140895280239444,-0.098309770851608,-0.431377907901186,-0.356697992710117,-0.296645683591376,0.121784780480214
947.28,-0.0126443558061221,-0.0972952653010313,-0.430833013999901,-0.356141989702482,-0.300432520471692,0.126396212674477
947.72,-0.0111909267583658,-0.096264426467043,-0.430275107221071,-0.355572334148751,-0.304193607269884,0.130988090900333
948.15,-0.00976010447128171,-0.0952326022188195,-0.429712094331043,-0.354987178002479,-0.307827858071776,0.135436194051416
948.59,-0.00828448075114067,-0.0941594837131155,-0.429119505526095,-0.354366775346707,-0.311515067885209,0.139954096669447
949.02,-0.00682939342766189,-0.0930959962285579,-0.428523619818739,-0.353739000545879,-0.315088773127997,0.144334569250802
949.46,-0.00532100470224766,-0.0919964654508709,-0.427898461604677,-0.353080007393321,-0.318723025688317,0.148791905483808
949.89,-0.00383983019852148,-0.0909095923192448,-0.427265001518576,-0.352402665046351,-0.322233338371778,0.153087427504281
950.33,-0.00229593764390072,-0.0897915940182818,-0.426603225874739,-0.351697358611897,-0.325810681831628,0.157469857358026
950.77,-0.000732133117519818,-0.0886681824007671,-0.425922650975003,-0.350967909386211,-0.329359943113012,0.161815106511178
951.2,0.000799061769963252,-0.087572171960072,-0.425234077228421,-0.350224968152966,-0.332791565963399,0.166000709936872
951.64,0.00240044499242718,-0.086448872251507,-0.424515408245659,-0.349448500883494,-0.336286875837806,0.170276846939824
952.07,0.00397409548371104,-0.0853577851171866,-0.423791520608058,-0.348663867164861,-0.339671662846663,0.17441314815466
952.51,0.00560034377143122,-0.0842483501065151,-0.42303105562099,-0.347837848983541,-0.343108227742273,0.178619097557727
952.94,0.00720363646705829,-0.0831727106868171,-0.422268351050335,-0.347008076383796,-0.346439774123039,0.182707593467039
953.38,0.00885648482746065,-0.0820820037727783,-0.421467589619235,-0.346136074847494,-0.349820333016436,0.186873220429713
953.81,0.0104815244898653,-0.0810263334295558,-0.420664641713537,-0.345261530810946,-0.353095037163599,0.190930957700412
954.25,0.0121662145113178,-0.079950657824879,-0.419824091411133,-0.344342766445838,-0.356418104149995,0.195086812010302
954.68,0.0137892938131393,-0.078920990171443,-0.418975338941726,-0.343424281226645,-0.359626607367097,0.199117475778782
955.12,0.0154829938674408,-0.0778642044257061,-0.418088480520951,-0.342458579091848,-0.362881720180556,0.203265589525532
955.55,0.0171228759697925,-0.0768457884817862,-0.417194620758786,-0.341493769734532,-0.366023969819621,0.20730766260494
955.99,0.0188137770694013,-0.0758046425555652,-0.416256506476382,-0.340482040501538,-0.369204857130369,0.211457343412477
956.43,0.020479698203272,-0.0747766373660469,-0.415287946738386,-0.339450616602962,-0.372343249119356,0.215597663606235
956.86,0.02209513542653,-0.0737774621694468,-0.414314000640874,-0.338422737508578,-0.375371903495988,0.219645659508088
957.3,0.0237493066652667,-0.072753149962775,-0.41329203705533,-0.337349479303442,-0.378435084925619,0.223797974266758
957.73,0.0253077848414098,-0.0717684637735643,-0.412258823208838,-0.336286825754392,-0.381383048990682,0.227834350590988
958.17,0.0269144871442369,-0.070750634784262,-0.411179167363708,-0.335177724451167,-0.384368083248164,0.23197917504848
958.6,0.0284362072839414,-0.0697639539859465,-0.410092519098104,-0.334078964703563,-0.387244079284024,0.236013456580712
959.04,0.0299584422956317,-0.0687551989358771,-0.408951729520809,-0.332937608558764,-0.390149134899645,0.240131144690558
959.47,0.0314081987789441,-0.0677691907559099,-0.40780880890272,-0.331805351755064,-0.392951774661375,0.244141840050774
959.91,0.0328689735258925,-0.0667534151981869,-0.406614682044211,-0.330628358023923,-0.395787134679519,0.248235543382108
960.34,0.0342133921551104,-0.0657690798901562,-0.405412618656741,-0.329460915611837,-0.398514635819972,0.252202291769637
960.78,0.0355802880230957,-0.0647476546815483,-0.404163267249793,-0.328245829395044,-0.401279094800043,0.256250273034139
961.21,0.0368477681472368,-0.0637501119004246,-0.402912343260725,-0.32703744134824,-0.403943214897889,0.260172885184475
961.65,0.0381112852511301,-0.0627195942811808,-0.401610798178853,-0.325778619658669,-0.406640303036243,0.264161476528993
962.08,0.0392567858701936,-0.0617149249611408,-0.400305502825688,-0.324521713100149,-0.409235504878213,0.268015345645017
962.52,0.0404114871748003,-0.0606717781035812,-0.398954537643878,-0.323211784629007,-0.41186759682853,0.271933387352427
962.95,0.0414680578791694,-0.0596490816496158,-0.397606870695043,-0.32190276484659,-0.414404446301666,0.275718949647463
963.39,0.0424933140552186,-0.058595302085081,-0.396205418376797,-0.320534430218787,-0.416968808043076,0.279550851417979
963.82,0.0434399847770942,-0.057558981963299,-0.394815200199366,-0.319168745281057,-0.419444680383019,0.283252213042376
964.26,0.0443665065031906,-0.0564906692536859,-0.393378295941245,-0.317746090895833,-0.42195236941458,0.286997781488109
964.69,0.0451995753380546,-0.0554456624793617,-0.39195215545693,-0.316325547088057,-0.424370323898324,0.290604220018035
965.12,0.0459623068447147,-0.054400961982355,-0.390505939127009,-0.314875517687221,-0.426756665342966,0.294153951219677
965.56,0.0467107412383831,-0.0533281339269186,-0.389023334172248,-0.313375935377211,-0.429179801256452,0.297742345799554
965.99,0.0473706527076505,-0.0522842872579144,-0.387558068372861,-0.311884877288748,-0.431517282157105,0.301186662998525
966.43,0.0479965223099001,-0.0512198474546382,-0.386054420264551,-0.310344655433723,-0.433887233512509,0.304656494085102
966.86,0.0485285660135756,-0.0501906021308494,-0.384565863370314,-0.308813218829715,-0.436169493396998,0.307972184981469
967.3,0.0490320036552401,-0.0491452545130902,-0.383046757530943,-0.307242432301033,-0.438489423678045,0.311311694745076
967.73,0.0494560040018962,-0.0481383890328603,-0.38155036519037,-0.305690944696233,-0.440729380789493,0.314500433938075
968.17,0.0498364988456129,-0.0471228442105671,-0.380018969634314,-0.304099894258573,-0.443004397009147,0.317698338298333
968.6,0.0501385128510304,-0.0461516069330255,-0.378505313321447,-0.30252764998165,-0.445198610190189,0.320735359294403
969.04,0.0504007371667247,-0.0451755471678329,-0.376962353819139,-0.30092597152994,-0.447435557806188,0.323782234290382
969.47,0.0505974776681485,-0.0442459598640601,-0.375442697993794,-0.299353384819692,-0.449601212961976,0.326675831655325
969.9,0.0507424796020376,-0.0433410818939566,-0.373916260250849,-0.297780977152725,-0.45175351115139,0.329493167023409
970.34,0.0508397249752182,-0.0424431801387288,-0.372346292951921,-0.296174044971272,-0.453944389193036,0.332296706758549
970.77,0.0508875258199539,-0.0415954992155865,-0.370803124760436,-0.294607219392705,-0.45607661689196,0.334959144578394
971.21,0.0508911250864701,-0.0407578347135759,-0.369219134584338,-0.293013946075858,-0.4582568586667,0.337614425263367
971.64,0.0508534875866892,-0.0399769165716696,-0.367654771345935,-0.291458131158714,-0.460378159362873,0.340124967496053
972.08,0.0507754815050571,-0.0392121762930132,-0.366046767504462,-0.28987821971584,-0.462551407208267,0.342628331200581
972.51,0.0506683897841105,-0.0385142493923384,-0.364452933373476,-0.288334568596568,-0.464664863286301,0.344984589076157
972.94,0.050529654218013,-0.037855463506834,-0.362850866543456,-0.286805269117132,-0.466784493506922,0.347283407823061
973.38,0.050356688618596,-0.0372235304222334,-0.361201723339456,-0.28525538461099,-0.468960903743409,0.3495798351392
973.81,0.0501647679247569,-0.0366616146117623,-0.35957138926895,-0.28374985327512,-0.471087430407899,0.351754011162332
974.25,0.0499416336739677,-0.0361338851311447,-0.357892301986676,-0.282226096563259,-0.473273712224215,0.353931473331924
974.68,0.0497078836186902,-0.0356888897135383,-0.35622880255301,-0.280747155455166,-0.475409143875699,0.355988286551316
